run,run_label,run_label_wrapped,run_detail,phase_path,run_rows,run_last_step,step,stft_weight,vq_weight,adv_weight,marginal_weight,balancer,loss_total,l1,stft,cos_pct,vq_loss,samples_per_s,ms_per_update
20260426_185932,full model: balancer OFF,full model: balancer OFF,"B/RVQ -> D/full; stft=0.65, vq=0.50, run 185932",B/RVQ -> D/full,2,40,40,0.65,0.5,0.0,0.499594,off,13.37115,0.179688,3.160529,-43.3594,0.382812,507.803767,504.1317
20260424_022614,AE only: grad balancer,AE only: grad balancer,"A/AE; stft=0.14, vq=0.00, run 022614",A/AE,1,326,326,0.140234,0.0,0.0,0.0,grad,11.599615,0.079102,1.799583,40.8203,0.0,638.778249,500.9563
20260426_083014,AE only: grad balancer,AE only: grad balancer,"A/AE; stft=0.23, vq=0.00, run 083014",A/AE,6,2172,2172,0.226766,0.0,0.0,0.0,grad,7.154794,0.048584,1.564379,83.9844,0.0,658.482741,437.3691
20260426_211231,RVQ quality run,RVQ quality run,"AE -> RVQ; high cosine / low L1 short run, balancer off",A/AE -> B/RVQ,15,6105,6105,0.65,0.126367,0.0,0.110297,off,-0.791862,0.028564,0.927343,95.3125,0.570312,334.385108,765.5843
20260426_090416,AE only: fast reconstruction,AE only: fast reconstruction,"Autoencoder-only reconstruction run, balancer off",A/AE,18,6516,6516,1.25,0.0,0.0,0.0,off,2.686479,0.063477,0.948371,77.3438,0.0,1065.743303,270.2339
20260426_223149,GAN smoke test,GAN smoke test,AE -> RVQ -> GAN; short adversarial test before full training,A/AE -> B/RVQ -> C/GAN -> D/full,17,6919,6919,0.65,0.5,0.015,0.427937,off,5.974129,0.057617,1.330725,66.0156,6.9375,272.966397,937.8444
20260424_125601,RVQ: grad balancer,RVQ: grad balancer,"A/AE -> B/RVQ; stft=0.46, vq=1.50, run 125601",A/AE -> B/RVQ,20,7240,7240,0.464328,1.5,0.0,0.716647,grad,346.133728,0.082031,1.611937,55.8594,221.0,673.434399,427.6586
20260426_200126,AE only: long check,AE only: long check,Autoencoder-only check with high throughput and no VQ,A/AE,40,16280,16280,0.65,0.0,0.0,0.0,off,0.649692,0.124512,1.000922,-93.75,0.0,998.93101,256.274
20260426_160128,RVQ ablation: balancer OFF,RVQ ablation: balancer OFF,"AE -> RVQ; stronger STFT, small VQ, no gradient balancer",A/AE -> B/RVQ,87,35409,35409,1.25,0.113645,0.0,0.035359,off,3.415393,0.055176,1.020878,79.2969,1.664062,899.467937,284.6127
20260425_183047,full model: grad balancer,full model: grad balancer,"A/AE -> B/RVQ -> D/full; stft=0.50, vq=0.25, run 183047",A/AE -> B/RVQ -> D/full,127,45974,45974,0.5,0.25,0.0,0.12,grad,102.761612,0.056396,1.344353,63.2812,372.0,634.441508,453.9426
20260426_002013,"Full model, light VQ","Full model, light VQ","AE -> RVQ -> full model; gradient balancer, lighter VQ and marginal regularization",A/AE -> B/RVQ -> D/full,179,64798,64798,0.5,0.25,0.0,0.12,grad,34.457104,0.077148,1.569907,66.4062,91.0,665.484199,432.7676
20260425_004452,Full + GAN baseline,Full + GAN baseline,AE -> RVQ -> GAN -> full model; gradient balancer and adversarial loss,A/AE -> B/RVQ -> C/GAN -> D/full,200,72400,72400,0.5,0.75,0.005,0.15,grad,305.327057,0.058105,1.653989,69.9219,388.0,414.104718,695.4763
20260424_023406,RVQ baseline: strong VQ,RVQ baseline: strong VQ,AE -> RVQ; older baseline with strong VQ pressure and gradient balancer,A/AE -> B/RVQ,407,72400,72400,0.5,5.0,0.0,0.35,grad,424.972351,0.072754,1.673566,55.8594,82.0,685.829419,419.9295
