step	mel_loss	adv_loss	commit_loss	vq_util	n_active	bitrate	grad_norm	lr
45000	0.5962	0.3949	0.0214	1.0000	1	752.0	109.9728	0.000005
45200	0.5605	0.3668	0.0201	1.0000	1	752.0	48.7638	0.000005
45400	0.5613	0.3459	0.0215	1.0000	1	752.0	62.3044	0.000004
45600	0.5960	0.4223	0.0211	1.0000	1	752.0	44.8864	0.000004
45800	0.6122	0.3912	0.0213	1.0000	1	752.0	85.4718	0.000004
46000	0.5902	0.3923	0.0192	1.0000	1	752.0	287.6828	0.000003
46200	0.6059	0.3809	0.0207	1.0000	1	752.0	63.5391	0.000003
46400	0.5557	0.3758	0.0217	1.0000	1	752.0	73.0549	0.000003
46600	0.6138	0.4155	0.0221	1.0000	1	752.0	54.5534	0.000002
46800	0.5742	0.3725	0.0216	1.0000	1	752.0	38.7199	0.000002
47000	0.6418	0.4374	0.0209	1.0000	1	752.0	35.6370	0.000002
47200	0.5557	0.4048	0.0197	1.0000	1	752.0	56.3666	0.000002
47400	0.5953	0.4437	0.0226	1.0000	1	752.0	53.5032	0.000001
47600	0.5674	0.3851	0.0225	1.0000	1	752.0	144.4099	0.000001
47800	0.5493	0.4099	0.0217	1.0000	1	752.0	94.6623	0.000001
48000	0.6555	0.3926	0.0219	1.0000	1	752.0	31.6555	0.000001
48200	0.5032	0.3930	0.0230	1.0000	1	752.0	91.9105	0.000001
48400	0.5542	0.3807	0.0221	1.0000	1	752.0	50.7480	0.000001
48600	0.5345	0.3599	0.0196	1.0000	1	752.0	653.7406	0.000000
48800	0.6537	0.3654	0.0219	1.0000	1	752.0	59.5851	0.000000
49000	0.6167	0.4074	0.0223	1.0000	1	752.0	63.1445	0.000000
49200	0.5806	0.4135	0.0203	1.0000	1	752.0	53.9282	0.000000
49400	0.5710	0.3725	0.0198	1.0000	1	752.0	808.2502	0.000000
49600	0.5485	0.4106	0.0211	1.0000	1	752.0	48.5215	0.000000
49800	0.6049	0.3994	0.0206	1.0000	1	752.0	63.2049	0.000000
